country,year,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
Egypt,2020,29.5,5.5,18.0,25.5,23.5,22.4
Nepal,2020,29.0,4.8,17.4,24.9,20.4,21.9
Georgia,2020,28.5,9.8,19.5,23.1,26.7,24.9
Kosovo (Disputed Territory),2020,28.5,8.5,18.9,26.5,21.0,48.9
Venezuela,2020,27.2,6.8,17.4,28.3,24.4,2.6
Tunisia,2020,27.0,5.5,16.7,25.3,14.9,34.5
Kyrgyzstan,2020,27.0,9.2,18.5,23.4,21.4,25.0
Uzbekistan,2020,26.0,7.5,17.2,21.6,20.2,24.3
Syria,2020,25.3,5.7,15.9,22.4,21.4,11.5
India,2020,24.6,5.7,15.5,24.5,17.2,54.3
Afghanistan,2020,24.2,4.0,14.6,17.7,17.4,28.2
Pakistan,2020,22.0,4.6,13.7,19.1,16.8,30.6
Bermuda,2021,145.1,92.9,120.1,141.8,157.7,83.4
Switzerland,2021,131.7,55.0,95.1,133.4,126.1,111.0
Norway,2021,106.1,36.2,72.7,100.6,105.9,79.4
Iceland,2021,96.8,43.2,71.2,88.8,102.2,71.9
Denmark,2021,91.7,36.2,65.2,72.6,104.9,94.7
Luxembourg,2021,88.3,61.6,75.5,80.7,94.7,95.4
Japan,2021,87.8,28.0,59.2,90.5,49.7,76.5
Israel,2021,86.6,31.9,60.5,73.7,91.1,70.4
Bahamas,2021,85.8,34.5,61.3,69.4,89.3,49.3
Singapore,2021,85.6,64.8,75.6,75.3,62.1,83.6
Australia,2021,84.1,38.4,62.3,81.1,76.3,99.3
Ireland,2021,83.1,45.4,65.1,67.8,82.3,73.8
Barbados,2021,81.5,21.1,52.6,71.5,72.8,45.3
South Korea,2021,81.2,22.9,53.3,99.8,44.0,76.6
France,2021,80.6,27.8,55.4,77.5,75.5,74.1
Hong Kong,2021,79.9,74.2,77.2,81.7,58.6,62.4
Sweden,2021,79.2,28.1,54.8,71.7,77.2,90.6
New Zealand,2021,79.1,35.4,58.2,75.0,69.2,81.4
Seychelles,2021,78.9,34.3,57.6,78.6,84.2,18.0
Netherlands,2021,78.6,39.3,59.8,61.6,81.6,83.9
Belgium,2021,78.5,26.8,53.8,67.3,82.4,76.5
Finland,2021,77.5,28.0,53.9,65.6,81.2,89.1
Lebanon,2021,75.9,24.1,51.1,72.5,62.9,29.5
Austria,2021,75.5,28.4,53.0,67.6,71.0,78.2
Malta,2021,73.6,33.0,54.2,63.4,77.0,41.9
Italy,2021,73.1,22.9,49.1,62.5,75.6,58.7
United States,2021,71.9,41.1,57.2,70.2,69.4,102.6
United Kingdom,2021,71.0,31.6,52.2,56.4,74.7,82.6
Germany,2021,70.6,29.6,51.0,54.7,65.0,93.7
Canada,2021,70.1,32.5,52.1,68.5,64.0,82.8
Macao,2021,69.6,44.4,57.6,66.3,48.9,67.6
Puerto Rico,2021,69.5,19.4,45.6,72.1,58.1,69.2
Taiwan,2021,65.2,17.9,42.6,79.1,28.8,56.1
Qatar,2021,64.2,46.6,55.8,56.7,62.6,93.1
Cyprus,2021,64.0,22.7,44.3,51.7,66.3,52.3
United Arab Emirates,2021,61.7,40.6,51.6,48.8,61.3,85.7
Greece,2021,61.0,13.1,38.1,47.7,55.7,38.9
Slovenia,2021,59.4,18.9,40.0,51.5,47.9,56.1
Spain,2021,59.1,23.6,42.1,48.7,57.0,62.7
Bahrain,2021,57.7,29.5,44.2,47.0,52.3,53.2
Estonia,2021,56.5,16.3,37.3,43.3,56.3,61.2
Croatia,2021,56.4,14.9,36.6,49.1,46.1,43.1
Palestine,2021,55.9,10.0,34.0,50.2,36.2,39.1
Cuba,2021,55.5,14.9,36.1,46.9,32.9,1.4
Trinidad And Tobago,2021,55.5,16.4,36.8,53.1,52.2,39.0
Ivory Coast,2021,54.6,20.3,38.2,47.2,34.5,6.3
Ethiopia,2021,54.3,15.6,35.8,37.5,18.2,10.1
Panama,2021,54.1,22.6,39.0,54.8,45.5,32.1
Jamaica,2021,53.2,15.9,35.4,55.9,33.1,32.2
Portugal,2021,52.9,22.3,38.3,42.0,43.2,45.0
Latvia,2021,52.9,13.2,33.9,41.4,44.9,45.9
Mauritius,2021,52.6,12.3,33.3,54.1,37.6,27.4
Belize,2021,52.4,11.6,32.9,47.8,36.1,45.7
Jordan,2021,52.2,9.7,31.9,42.8,42.1,33.1
Suriname,2021,51.9,10.4,32.1,50.4,62.6,16.5
Zimbabwe,2021,51.5,9.4,31.4,45.6,39.3,22.1
Yemen,2021,51.5,6.2,29.8,61.2,23.6,14.7
Uruguay,2021,51.1,13.6,33.2,40.8,49.0,30.6
Costa Rica,2021,50.6,14.5,33.4,48.0,41.3,39.0
Oman,2021,50.2,17.3,34.5,46.9,41.9,84.4
Saudi Arabia,2021,49.9,11.6,31.6,41.7,32.0,88.2
Kuwait,2021,49.4,31.4,40.8,35.9,45.1,75.3
Brunei,2021,49.4,23.4,37.0,47.2,35.9,89.0
Chile,2021,49.3,14.7,32.8,41.8,46.0,33.3
Thailand,2021,49.3,16.3,33.6,50.6,24.2,31.4
Czech Republic,2021,49.2,19.8,35.1,42.8,34.7,56.4
Slovakia,2021,49.1,17.4,34.0,43.0,37.5,50.4
Fiji,2021,48.5,17.8,33.8,53.4,38.6,30.0
Cambodia,2021,47.9,14.6,32.0,48.6,23.1,11.4
Lithuania,2021,47.7,14.6,31.9,37.3,46.0,54.6
Guatemala,2021,44.8,15.2,30.7,41.7,32.5,25.6
El Salvador,2021,44.6,13.3,29.6,42.7,33.3,20.7
Nicaragua,2021,42.8,8.0,26.2,41.1,29.5,16.7
Hungary,2021,42.7,12.8,28.4,35.5,34.2,49.8
Cameroon,2021,42.6,7.4,25.8,42.9,24.7,15.4
China,2021,42.5,16.4,30.1,45.5,28.4,57.5
Honduras,2021,42.2,10.6,27.1,35.1,28.7,31.1
Poland,2021,42.0,18.1,30.6,33.4,35.4,47.1
South Africa,2021,41.7,15.9,29.4,34.6,37.2,72.9
Dominican Republic,2021,41.5,9.8,26.4,36.1,35.3,21.7
Montenegro,2021,41.4,11.8,27.3,32.5,32.5,35.4
Iran,2021,41.3,17.9,30.1,36.3,25.9,19.0
Namibia,2021,41.0,14.3,28.2,35.7,35.6,53.3
Bulgaria,2021,40.9,9.9,26.1,35.2,31.9,40.3
Philippines,2021,40.7,10.4,26.2,38.9,22.2,19.7
Ghana,2021,40.6,18.4,30.0,41.2,31.5,15.2
Botswana,2021,40.4,10.7,26.2,34.6,41.5,61.9
Albania,2021,40.2,9.2,25.4,32.7,30.7,26.6
Ecuador,2021,40.1,12.0,26.7,36.4,28.5,30.5
Malaysia,2021,39.5,10.8,25.8,40.2,21.7,56.1
Serbia,2021,39.2,9.8,25.2,29.7,30.6,35.8
Bosnia And Herzegovina,2021,38.6,7.1,23.5,31.8,25.7,42.6
Romania,2021,38.5,10.8,25.2,33.4,32.4,45.2
Myanmar,2021,38.1,21.7,30.2,39.6,21.2,10.7
Vietnam,2021,38.0,14.2,26.6,38.3,19.0,27.3
Argentina,2021,37.9,8.5,23.8,29.2,33.4,34.6
Indonesia,2021,37.4,10.3,24.5,39.4,18.0,20.9
Somalia,2021,37.4,5.9,22.4,44.5,26.7,27.2
Morocco,2021,36.9,9.7,23.9,32.8,26.3,32.2
Kenya,2021,36.3,9.2,23.3,33.4,30.5,27.7
Peru,2021,36.3,12.3,24.8,33.8,23.6,28.8
Bolivia,2021,36.1,10.8,24.0,31.9,25.2,37.2
Mozambique,2021,35.9,15.1,26.0,29.1,29.3,16.4
Mexico,2021,35.1,11.6,23.9,33.6,28.9,35.5
Tanzania,2021,34.6,13.1,24.3,30.6,25.2,16.0
North Macedonia,2021,34.1,6.7,21.0,28.5,22.5,32.0
Rwanda,2021,34.1,14.9,24.9,28.5,28.5,22.0
Bangladesh,2021,33.3,4.9,19.7,31.5,20.4,24.1
Mongolia,2021,33.2,9.9,22.1,33.1,23.3,28.1
Russia,2021,33.2,9.8,22.0,27.8,30.6,34.6
Iraq,2021,32.7,9.8,21.8,27.5,25.6,39.8
Moldova,2021,32.7,8.7,21.2,26.1,26.6,27.0
Uganda,2021,32.2,7.3,20.3,28.9,22.0,14.0
Brazil,2021,31.8,8.1,20.5,25.4,22.5,28.7
Armenia,2021,31.7,10.4,21.5,24.6,27.2,26.1
Turkey,2021,31.5,6.1,19.4,28.1,19.9,35.3
Sri Lanka,2021,31.3,8.5,20.4,36.5,16.5,20.8
Colombia,2021,31.0,10.0,20.9,26.3,21.8,26.1
Azerbaijan,2021,30.9,9.0,20.4,26.2,28.7,25.8
Paraguay,2021,30.7,9.8,20.7,24.5,24.3,27.5
Belarus,2021,30.7,9.2,20.4,26.6,31.0,32.0
Egypt,2021,30.1,6.0,18.6,26.5,24.9,20.0
Kazakhstan,2021,29.8,9.3,20.0,25.6,25.8,34.9
Nigeria,2021,29.7,28.9,29.3,31.2,18.0,9.8
Tunisia,2021,29.5,5.8,18.2,28.5,15.7,27.8
Kosovo (Disputed Territory),2021,29.4,8.8,19.6,26.9,21.1,40.1
Ukraine,2021,29.2,8.7,19.4,24.3,23.7,30.1
Syria,2021,29.0,5.7,17.9,28.4,23.5,8.1
Nepal,2021,28.9,4.5,17.2,26.5,19.7,20.6
Algeria,2021,28.3,5.0,17.2,29.1,15.0,24.8
Zambia,2021,28.1,6.7,17.9,27.1,16.2,59.5
Georgia,2021,28.0,9.4,19.1,24.4,24.2,25.7
Uzbekistan,2021,27.1,8.1,18.0,23.9,21.4,22.0
Afghanistan,2021,26.3,3.9,15.6,19.3,17.0,26.6
India,2021,25.2,5.8,15.9,26.3,17.7,47.1
Kyrgyzstan,2021,23.0,7.4,15.5,20.6,19.2,22.0
Libya,2021,22.3,5.7,14.4,25.3,13.3,31.8
Pakistan,2021,21.6,4.4,13.4,19.1,17.2,27.3
Bermuda,2022,146.0,98.6,123.8,148.7,159.2,81.1
Switzerland,2022,123.3,53.5,90.6,128.1,122.1,118.4
Norway,2022,100.9,34.7,69.9,97.3,105.5,83.1
Iceland,2022,94.9,41.9,70.1,90.2,99.4,77.1
Barbados,2022,92.4,22.0,59.4,87.8,78.2,32.1
Jersey,2022,92.0,65.3,79.5,76.9,94.6,79.1
Israel,2022,88.1,33.9,62.7,76.7,95.3,75.6
Denmark,2022,84.1,33.2,60.3,68.6,98.8,99.5
Bahamas,2022,84.0,35.3,61.2,70.6,89.1,45.1
Singapore,2022,84.0,66.4,75.8,77.1,61.2,91.3
Guernsey,2022,83.6,54.0,69.7,76.8,90.0,71.6
Hong Kong,2022,80.7,74.6,77.8,84.7,58.6,65.7
Luxembourg,2022,80.5,60.1,70.9,74.7,88.8,98.8
Australia,2022,77.7,36.8,58.6,77.4,73.0,104.6
Japan,2022,77.0,25.9,53.0,81.3,45.4,87.1
Ireland,2022,76.1,42.1,60.1,62.1,80.4,82.3
Netherlands,2022,75.7,36.1,57.1,65.5,76.4,88.0
New Zealand,2022,74.5,34.4,55.7,72.0,70.1,83.6
France,2022,74.1,25.3,51.3,73.6,71.8,85.4
South Korea,2022,73.2,20.0,48.3,92.0,42.1,76.9
Finland,2022,73.2,25.9,51.0,65.2,77.6,91.0
Belgium,2022,72.6,25.8,50.7,63.3,78.6,79.7
Sweden,2022,71.7,25.9,50.2,65.8,72.6,98.1
Austria,2022,71.0,27.1,50.5,65.9,66.0,77.3
Canada,2022,70.2,34.3,53.4,70.0,67.9,88.0
United States,2022,70.1,42.1,57.0,70.4,70.1,106.3
United Kingdom,2022,69.7,31.8,51.9,56.6,76.8,88.8
Lebanon,2022,69.6,24.8,48.6,66.8,54.2,35.1
Malta,2022,67.8,29.7,50.0,59.6,72.4,44.2
Macao,2022,66.8,43.0,55.6,67.9,51.3,69.3
Puerto Rico,2022,66.5,18.4,44.0,69.6,55.6,72.8
Italy,2022,66.5,20.6,44.9,58.0,70.6,61.7
Seychelles,2022,65.9,32.4,50.2,61.5,77.0,19.4
Germany,2022,65.6,27.6,47.8,52.3,60.9,103.1
Qatar,2022,62.8,48.2,56.0,55.0,63.0,93.7
Taiwan,2022,62.4,17.7,41.4,76.2,29.4,58.3
Cyprus,2022,59.0,22.4,41.8,49.2,61.1,57.3
United Arab Emirates,2022,58.3,43.3,51.3,46.7,61.5,92.2
Palestine,2022,58.1,11.0,36.0,51.2,44.6,39.8
Maldives,2022,57.7,30.2,44.8,56.6,34.7,28.6
Greece,2022,56.2,12.7,35.8,44.7,52.2,39.7
Cuba,2022,55.0,15.2,36.4,47.9,33.5,1.4
Trinidad And Tobago,2022,54.9,16.0,36.6,54.0,53.7,38.5
Bahrain,2022,54.8,29.2,42.8,44.6,48.9,61.4
Slovenia,2022,53.9,17.9,37.0,47.7,46.7,59.5
Spain,2022,53.9,21.3,38.6,45.7,54.0,70.0
Estonia,2022,53.7,16.4,36.2,42.3,56.4,63.5
Yemen,2022,53.1,6.7,31.4,67.1,24.7,14.4
Uruguay,2022,52.1,13.9,34.2,44.0,49.4,30.1
Suriname,2022,51.8,9.7,32.1,45.9,79.6,13.4
Panama,2022,51.4,21.7,37.5,52.2,43.4,33.1
Belize,2022,51.3,11.6,32.7,48.8,36.6,45.7
Saudi Arabia,2022,50.4,11.7,32.2,42.6,35.5,91.8
Senegal,2022,50.2,23.0,37.5,42.2,46.2,23.5
Jamaica,2022,49.7,15.1,33.5,53.4,35.0,30.3
Oman,2022,49.4,16.8,34.1,46.5,43.2,84.2
Jordan,2022,49.2,9.2,30.5,40.8,41.2,31.3
Cambodia,2022,49.1,15.7,33.4,50.6,22.9,13.3
Croatia,2022,48.9,13.4,32.3,42.0,41.3,47.5
Kuwait,2022,48.7,31.3,40.5,35.6,47.5,78.6
Latvia,2022,48.5,11.8,31.3,38.4,42.1,51.6
Libya,2022,48.3,12.9,31.7,54.0,34.1,33.2
Czech Republic,2022,48.2,18.4,34.3,42.8,36.7,66.5
Portugal,2022,47.9,20.7,35.2,39.0,40.3,46.8
Ethiopia,2022,47.5,16.9,33.1,36.7,18.0,10.1
Ivory Coast,2022,47.0,17.7,33.3,40.2,32.0,6.9
Costa Rica,2022,47.0,14.7,31.9,45.5,41.7,39.9
Zimbabwe,2022,45.7,8.8,28.4,39.9,38.1,19.1
Lithuania,2022,45.6,15.0,31.3,36.2,46.6,58.7
Slovakia,2022,44.7,16.1,31.3,39.7,36.1,54.7
El Salvador,2022,44.4,13.2,29.8,44.3,35.5,21.2
Mauritius,2022,44.1,11.0,28.6,45.6,33.4,29.6
Chile,2022,43.9,13.5,29.7,38.9,43.3,33.3
Guatemala,2022,43.5,15.6,30.4,41.9,32.6,26.4
Thailand,2022,43.2,14.7,29.8,45.1,22.6,31.6
Venezuela,2022,43.2,10.0,27.6,37.3,46.2,15.4
Fiji,2022,43.2,17.8,31.3,48.1,37.4,35.9
South Africa,2022,42.1,16.6,30.1,34.8,41.3,78.4
Dominican Republic,2022,41.8,9.6,26.7,38.5,34.3,21.1
China,2022,41.8,16.5,29.9,46.0,28.4,60.0
Hungary,2022,40.7,11.9,27.2,35.2,32.8,52.0
Honduras,2022,40.5,10.3,26.3,34.7,28.7,32.1
Botswana,2022,40.2,10.2,26.1,35.2,42.5,62.6
Nicaragua,2022,39.6,8.7,25.1,38.1,27.5,17.6
Cameroon,2022,39.5,6.9,24.2,40.4,26.3,15.4
Poland,2022,39.0,14.4,27.5,32.4,33.5,60.0
Montenegro,2022,38.9,12.9,26.7,31.8,33.2,34.2
Bulgaria,2022,38.4,9.1,24.6,34.0,32.4,46.0
Vietnam,2022,37.5,13.2,26.1,38.7,20.0,29.4
Iran,2022,37.4,17.0,27.9,29.5,25.2,18.0
Ecuador,2022,37.3,11.3,25.1,34.5,28.6,31.8
Philippines,2022,37.1,9.6,24.2,37.8,20.6,21.5
Malaysia,2022,37.0,9.9,24.3,39.4,20.8,55.3
Serbia,2022,36.2,8.7,23.3,28.2,29.2,37.8
Ghana,2022,36.2,19.3,28.3,37.5,30.1,16.8
Bosnia And Herzegovina,2022,36.1,6.8,22.4,31.1,25.3,44.1
Indonesia,2022,35.9,9.8,23.6,38.3,17.7,21.1
Myanmar,2022,35.7,21.2,28.9,37.6,20.0,13.8
Albania,2022,35.5,8.5,22.8,29.3,25.8,30.2
Mexico,2022,35.3,12.6,24.7,34.8,32.7,38.6
Russia,2022,35.3,13.1,24.9,29.9,34.6,37.4
Romania,2022,35.2,10.2,23.5,31.4,30.0,48.1
Bolivia,2022,34.8,10.2,23.2,31.3,25.0,36.0
Mongolia,2022,34.7,11.2,23.7,36.1,22.8,24.3
Argentina,2022,34.7,7.7,22.0,28.2,33.3,30.7
Somalia,2022,34.6,5.2,20.8,39.4,26.6,29.4
Iraq,2022,34.5,10.6,23.3,30.5,28.3,40.9
Kenya,2022,33.9,8.7,22.1,31.3,28.8,32.2
Armenia,2022,33.9,11.6,23.4,27.6,30.5,28.9
Morocco,2022,33.8,9.0,22.2,30.6,24.5,34.4
Uganda,2022,33.5,9.2,22.1,31.0,24.8,11.4
Brazil,2022,33.2,8.3,21.5,28.2,25.2,27.8
Bangladesh,2022,33.1,4.4,19.7,30.4,21.7,25.3
Zambia,2022,33.0,9.3,21.9,31.5,22.5,40.3
Tanzania,2022,32.8,12.4,23.2,30.0,24.9,16.0
Peru,2022,32.5,11.2,22.5,30.7,21.5,28.2
Rwanda,2022,31.6,15.9,24.3,27.7,28.0,26.8
North Macedonia,2022,31.4,6.1,19.5,27.0,21.0,35.4
Sri Lanka,2022,31.3,8.2,20.5,37.7,17.3,19.3
Belarus,2022,30.9,9.8,21.0,27.2,31.6,31.8
Ukraine,2022,30.7,10.6,21.3,26.3,25.7,37.2
Nigeria,2022,30.5,36.0,33.1,33.7,20.9,9.3
Moldova,2022,30.3,8.7,20.2,25.0,27.1,33.4
Paraguay,2022,30.2,10.0,20.8,25.4,24.2,26.1
Georgia,2022,30.2,9.3,20.4,26.4,27.9,31.1
Azerbaijan,2022,29.7,7.9,19.5,26.6,26.7,27.3
Egypt,2022,29.5,5.8,18.4,27.4,23.4,21.5
Syria,2022,28.8,5.2,17.7,29.3,22.8,6.6
Kazakhstan,2022,28.7,9.4,19.7,25.3,27.2,32.2
Turkey,2022,28.3,6.6,18.2,22.6,18.4,32.9
Nepal,2022,28.3,4.0,16.9,26.4,20.4,23.0
Tunisia,2022,27.9,5.3,17.3,27.4,16.0,27.8
Uzbekistan,2022,27.3,9.3,18.9,26.8,24.2,22.4
Kosovo (Disputed Territory),2022,27.1,8.0,18.1,24.8,19.5,43.9
Algeria,2022,26.9,4.6,16.4,28.8,14.5,24.6
Colombia,2022,26.7,8.2,18.0,23.5,19.4,28.9
India,2022,24.4,5.3,15.5,26.4,17.6,49.7
Afghanistan,2022,20.4,2.7,12.1,14.9,12.4,23.0
Pakistan,2022,19.9,3.9,12.4,17.8,15.5,26.6
Bermuda,2023,141.8,96.3,120.0,143.3,142.0,79.5
Switzerland,2023,114.2,50.2,83.5,113.9,109.5,118.7
Cayman Islands,2023,103.4,75.7,90.1,96.4,92.4,76.7
Bahamas,2023,90.9,39.6,66.3,74.1,94.8,43.2
Barbados,2023,88.8,21.2,56.4,80.1,82.7,36.8
Norway,2023,88.6,30.9,60.9,81.8,90.6,95.0
Singapore,2023,85.9,85.3,85.6,74.0,58.4,95.6
Iceland,2023,83.3,36.7,61.0,78.3,86.9,90.1
Jersey,2023,80.0,53.9,67.4,62.4,90.8,72.6
Denmark,2023,78.6,30.4,55.5,62.4,91.9,105.0
Israel,2023,76.4,30.4,54.4,63.8,85.0,80.5
Hong Kong (China),2023,75.7,66.3,71.2,79.5,53.6,67.7
Australia,2023,75.3,39.0,57.9,73.3,66.2,110.9
Luxembourg,2023,73.2,48.3,61.3,67.0,78.9,127.1
New Zealand,2023,72.9,31.9,53.2,69.4,69.7,93.0
United States,2023,72.4,47.1,60.3,71.4,70.8,115.7
Guernsey,2023,71.0,46.2,59.1,66.1,70.5,77.2
Ireland,2023,70.5,44.4,58.0,55.8,71.9,82.6
South Korea,2023,70.4,17.5,45.0,87.5,37.6,85.5
Macao (China),2023,68.8,34.9,52.5,74.4,48.2,80.2
France,2023,68.7,24.6,47.5,65.1,66.9,86.2
Netherlands,2023,68.6,33.4,51.7,57.4,67.6,107.8
Finland,2023,67.5,22.7,46.0,58.2,70.4,98.8
Puerto Rico,2023,67.0,23.2,46.0,66.4,59.0,62.1
Canada,2023,66.1,33.4,50.4,64.2,62.8,102.1
Austria,2023,66.0,23.1,45.4,58.0,63.5,91.2
Lebanon,2023,65.8,19.2,43.5,65.3,48.0,22.7
Belgium,2023,65.6,22.4,44.9,54.5,69.0,94.5
Japan,2023,64.6,20.8,43.6,66.5,37.9,100.4
Germany,2023,62.9,26.1,45.3,50.9,56.2,107.6
Sweden,2023,62.9,22.7,43.6,55.2,64.3,101.2
Isle Of Man,2023,61.8,27.8,45.5,50.1,76.5,167.7
United Kingdom,2023,61.5,30.3,46.6,47.7,67.9,98.9
Malta,2023,61.4,25.7,44.3,52.0,64.7,50.6
Italy,2023,61.3,20.5,41.7,51.9,61.9,66.5
United Arab Emirates,2023,60.3,34.0,47.6,46.6,56.6,123.4
Uruguay,2023,59.9,15.9,38.8,48.1,59.5,38.4
Qatar,2023,59.5,50.0,54.9,47.7,58.3,123.6
Yemen,2023,58.8,7.9,34.4,66.6,31.2,18.6
Cyprus,2023,55.9,27.4,42.2,45.0,55.0,54.8
Brunei,2023,55.2,17.9,37.3,64.5,33.8,60.7
Maldives,2023,55.0,27.0,41.6,49.8,34.6,33.9
Estonia,2023,54.8,16.4,36.4,42.4,55.1,61.4
Greece,2023,54.6,12.9,34.6,42.4,50.1,41.9
Taiwan (China),2023,54.2,15.3,35.5,63.3,27.9,71.3
Jamaica,2023,53.6,13.6,34.4,55.1,37.1,28.9
Trinidad And Tobago,2023,53.3,13.7,34.3,51.5,50.4,38.9
Bahrain,2023,52.7,25.4,39.6,40.9,47.3,81.7
Cuba,2023,52.6,16.0,35.1,48.6,29.9,1.6
Latvia,2023,50.9,10.9,31.7,40.2,43.7,52.9
Slovenia,2023,50.8,16.6,34.4,43.9,43.6,61.7
Palestine,2023,50.7,9.6,31.0,43.7,37.5,39.8
Spain,2023,50.6,21.7,36.7,41.0,51.5,82.5
Saudi Arabia,2023,50.6,12.0,32.1,41.7,38.0,101.9
Czech Republic,2023,48.9,19.1,34.7,40.7,36.6,71.8
Costa Rica,2023,48.8,14.9,32.5,46.7,41.4,41.5
Lithuania,2023,48.8,16.8,33.4,39.0,48.1,56.7
Panama,2023,48.2,19.7,34.5,46.0,41.4,36.4
Belize,2023,48.0,11.7,30.6,44.8,30.8,49.2
Oman,2023,47.8,15.8,32.5,42.6,40.1,108.2
Guyana,2023,47.3,9.5,29.2,48.7,42.2,23.3
Kuwait,2023,46.8,27.1,37.4,32.9,42.2,96.7
Jordan,2023,46.8,8.8,28.6,38.7,40.6,38.0
Croatia,2023,46.7,12.2,30.2,39.5,39.5,56.2
Senegal,2023,46.4,22.2,34.8,38.1,43.3,21.7
Portugal,2023,45.3,21.9,34.1,36.0,38.7,51.7
Cambodia,2023,44.5,13.8,29.8,43.9,26.2,15.5
Slovakia,2023,44.2,14.9,30.2,40.0,33.6,56.3
Chile,2023,44.1,13.4,29.4,39.9,42.4,37.3
El Salvador,2023,43.3,14.8,29.6,43.5,31.3,22.7
Ivory Coast,2023,42.7,15.5,29.6,35.2,27.5,7.8
Ethiopia,2023,42.3,17.1,30.2,34.3,19.7,11.6
Mauritius,2023,42.2,10.9,27.2,41.6,32.3,30.8
Dominican Republic,2023,41.8,11.9,27.5,36.8,33.9,23.0
Venezuela,2023,41.6,7.4,25.2,37.1,43.6,12.4
Russia,2023,40.8,12.8,27.4,33.4,39.2,40.9
Armenia,2023,40.8,23.5,32.5,34.3,36.1,25.5
Zimbabwe,2023,40.8,11.5,26.7,35.0,32.5,18.7
Thailand,2023,40.7,13.3,27.6,42.0,21.0,33.2
Bulgaria,2023,40.5,10.0,25.9,35.7,35.8,51.2
Guatemala,2023,40.2,13.8,27.5,38.9,28.5,29.7
Hungary,2023,39.2,11.6,26.0,34.8,32.3,53.1
China,2023,39.2,18.8,29.4,41.0,27.0,62.3
Georgia,2023,38.9,19.3,29.5,33.9,36.7,25.9
Montenegro,2023,38.9,13.5,26.7,32.4,32.9,40.4
Honduras,2023,38.8,9.3,24.7,33.1,26.2,35.4
Poland,2023,38.6,16.0,27.8,30.8,34.0,64.0
Fiji,2023,38.5,15.1,27.3,41.9,30.7,65.5
South Africa,2023,37.8,14.0,26.4,30.1,34.8,83.9
Albania,2023,37.4,9.1,23.9,31.3,26.5,30.1
Romania,2023,37.4,9.9,24.2,32.0,33.0,52.5
Mexico,2023,37.3,12.8,25.5,36.6,34.0,43.5
Serbia,2023,37.2,10.6,24.4,30.6,30.2,39.6
Nicaragua,2023,36.8,7.8,22.9,34.3,26.0,21.7
Namibia,2023,35.8,11.8,24.3,30.9,39.1,51.3
Vietnam,2023,35.7,11.2,24.0,35.9,18.1,31.5
Belarus,2023,35.4,10.0,23.2,31.0,37.2,36.4
Iran,2023,35.2,14.6,25.3,26.2,24.6,21.1
Bosnia And Herzegovina,2023,35.1,5.9,21.1,30.8,21.8,48.6
Ecuador,2023,35.1,9.7,22.9,31.9,26.6,37.0
Malaysia,2023,35.0,9.8,22.9,36.7,20.5,65.7
Brazil,2023,34.7,8.3,22.1,29.3,26.4,28.7
Botswana,2023,34.4,7.5,21.5,30.5,32.7,63.6
Philippines,2023,34.0,9.8,22.4,33.4,20.9,22.4
Cameroon,2023,33.6,5.7,20.3,33.8,22.3,18.4
Myanmar,2023,32.9,20.0,26.7,33.8,18.4,29.7
Peru,2023,32.4,11.1,22.2,29.4,22.3,31.3
Kenya,2023,32.4,7.8,20.6,29.8,27.0,32.8
Moldova,2023,32.3,8.3,20.8,26.8,27.7,33.1
Uganda,2023,32.1,9.0,21.0,27.8,23.1,12.5
Bolivia,2023,31.9,8.2,20.5,27.8,23.4,37.4
Iraq,2023,31.4,9.2,20.8,26.6,25.1,44.5
North Macedonia,2023,31.4,5.7,19.1,27.1,21.3,38.2
Mongolia,2023,31.2,8.3,20.2,31.2,25.5,24.3
Argentina,2023,31.2,6.9,19.5,25.7,26.8,36.8
Indonesia,2023,31.2,8.3,20.2,33.1,16.0,27.5
Nigeria,2023,30.9,33.3,32.0,32.4,22.2,8.4
Tanzania,2023,30.8,9.9,20.8,28.4,21.9,20.5
Rwanda,2023,30.0,14.2,22.4,26.3,24.2,30.0
Morocco,2023,29.3,7.5,18.8,25.4,19.7,33.6
Azerbaijan,2023,28.9,7.5,18.7,25.4,26.9,32.0
Paraguay,2023,28.6,9.3,19.4,24.4,21.4,27.8
Kosovo (Disputed Territory),2023,28.4,8.0,18.6,25.1,19.6,37.6
Kazakhstan,2023,28.1,11.5,20.2,25.0,26.4,38.1
Turkey,2023,28.1,7.2,18.1,23.2,18.3,31.0
Algeria,2023,27.6,4.3,16.5,30.1,13.6,26.9
Uzbekistan,2023,27.0,10.7,19.2,25.4,22.9,24.8
Ghana,2023,26.7,14.6,20.9,26.5,23.6,17.2
Bangladesh,2023,26.6,3.2,15.4,25.2,16.6,26.9
Tunisia,2023,26.5,5.0,16.2,25.6,14.4,30.0
Syria,2023,26.1,4.5,15.7,23.7,19.0,5.5
Kyrgyzstan,2023,25.9,9.3,18.0,24.7,23.5,25.5
Ukraine,2023,25.6,8.1,17.2,22.2,21.2,38.1
Sri Lanka,2023,25.3,5.4,15.8,31.0,12.0,16.0
Nepal,2023,24.8,3.7,14.7,22.8,17.3,21.8
Libya,2023,24.2,5.2,15.1,23.1,19.3,32.1
Colombia,2023,23.1,7.0,15.4,21.0,17.3,31.1
India,2023,22.4,5.5,14.3,23.3,15.7,64.6
