rank,country,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index,Year
44,Bosnia And Herzegovina,74.6,44.5,55.0,54.4,49.8,12.0,22.6,58.2,,2014
45,Belarus,74.4,33.9,67.1,48.0,50.3,16.8,24.8,42.7,,2014
46,Hong Kong,73.2,71.4,77.3,71.8,76.4,27.1,47.7,63.8,,2014
47,Chile,69.3,58.3,52.9,58.7,60.2,9.5,42.1,71.0,,2014
48,Serbia,69.3,37.4,60.7,54.4,51.6,16.9,24.4,49.6,,2014
49,Turkey,67.8,55.8,60.0,57.5,49.9,6.9,51.9,77.1,,2014
50,Romania,63.3,36.5,71.3,47.3,48.2,13.2,33.3,62.6,,2014
51,Bulgaria,62.6,37.4,60.0,58.0,50.0,9.9,34.7,66.7,,2014
52,Thailand,56.6,37.0,62.4,85.4,45.9,19.1,32.8,71.1,,2014
53,Ecuador,42.3,27.0,40.0,59.4,45.2,12.7,42.8,53.7,,2014
54,Kazakhstan,40.6,37.3,50.6,60.2,63.1,11.3,40.0,74.4,,2014
55,Jordan,39.5,38.3,52.4,74.1,61.5,7.9,60.2,81.8,,2014
56,Brazil,38.8,43.3,33.0,53.7,60.6,15.0,43.0,57.6,,2014
57,Colombia,36.5,33.4,41.5,68.5,50.4,14.2,46.2,65.7,,2014
58,China,30.3,43.7,69.9,65.1,54.1,26.1,31.2,84.7,,2014
59,Philippines,28.1,30.0,58.1,69.8,40.3,18.8,49.8,74.9,,2014
60,Pakistan,22.3,31.5,36.2,50.4,29.7,13.9,25.1,80.3,,2014
61,Ukraine,22.2,31.0,50.6,47.1,45.6,16.0,41.9,73.3,,2014
62,Indonesia,21.8,26.4,53.3,60.2,39.0,18.8,41.1,73.8,,2014
63,Lebanon,18.4,41.9,49.9,55.4,70.2,18.3,32.4,86.7,,2014
64,Russia,16.5,37.3,47.3,43.5,61.8,14.7,49.7,76.5,,2014
65,Egypt,5.4,25.6,47.6,61.3,38.3,11.1,60.8,91.2,,2014
66,Iran,-11.1,30.3,45.0,48.6,49.5,20.6,54.5,86.1,,2014
67,Mongolia,-26.7,25.6,33.8,27.2,57.4,15.7,36.9,95.0,,2014
68,Venezuela,-39.3,17.9,18.5,41.0,114.4,20.2,38.8,74.0,,2014
1,Switzerland,222.9,146.5,73.2,66.3,126.0,7.3,25.6,24.1,,2015
2,Germany,195.9,111.8,71.5,75.6,76.3,6.6,31.1,28.3,,2015
3,Sweden,193.9,110.9,57.9,76.3,82.9,9.2,26.9,15.1,,2015
4,United States,192.5,126.1,50.0,67.8,76.5,2.6,36.0,31.4,,2015
5,Finland,190.2,101.2,70.5,69.4,89.7,7.0,33.2,14.9,,2015
6,Denmark,190.2,105.7,74.3,79.3,100.6,5.0,27.8,31.8,,2015
7,Austria,182.6,104.6,73.8,78.4,76.9,9.6,25.9,34.0,,2015
8,Australia,180.8,110.4,57.8,71.9,99.3,7.1,36.2,21.6,,2015
9,Canada,177.6,105.1,62.5,69.6,81.8,5.5,38.9,27.3,,2015
10,New Zealand,175.5,91.0,60.2,72.6,93.7,5.8,28.1,17.6,,2015
11,Norway,175.1,96.3,68.8,75.5,118.6,7.7,25.3,23.7,,2015
12,Saudi Arabia,169.4,126.2,65.4,59.0,50.4,3.1,26.1,71.0,,2015
13,Japan,168.3,98.2,79.8,87.1,80.4,9.2,51.0,38.2,,2015
14,Netherlands,166.8,102.0,64.6,67.2,86.0,6.2,35.5,35.0,,2015
15,Turkmenistan,157.1,59.7,82.1,77.2,38.1,13.0,11.8,28.4,,2015
16,United Kingdom,156.9,98.1,58.0,73.9,92.2,8.6,34.0,34.0,,2015
17,Cyprus,154.9,71.0,68.4,78.4,72.5,7.4,19.0,32.9,,2015
18,United Arab Emirates,153.7,104.6,77.8,55.6,67.2,6.2,29.9,61.3,,2015
19,Ireland,148.9,95.7,50.9,49.5,92.1,6.1,32.6,28.0,,2015
20,Qatar,144.9,113.0,79.0,75.9,74.0,6.6,29.3,87.7,,2015
21,Estonia,144.6,51.4,71.9,73.1,61.2,11.6,22.4,15.5,,2015
22,France,139.3,92.6,50.3,82.6,88.4,9.7,28.6,45.9,,2015
23,Belgium,136.0,86.2,58.0,77.9,87.2,6.5,26.7,53.8,,2015
24,Spain,134.9,76.7,66.1,73.2,65.7,9.6,28.9,46.3,,2015
25,Slovenia,134.5,64.2,71.3,53.9,65.1,10.6,18.8,31.4,,2015
26,Portugal,129.2,58.2,64.2,65.6,58.2,8.3,28.2,32.6,,2015
27,Czech Republic,127.5,68.1,67.1,67.2,48.5,10.6,31.5,42.9,,2015
28,Puerto Rico,125.7,94.4,32.9,58.7,73.5,4.5,32.0,48.0,,2015
29,Kuwait,123.4,85.7,56.5,66.6,93.0,6.1,25.0,59.6,,2015
30,Israel,120.4,88.2,69.6,76.4,79.3,10.7,41.2,65.2,,2015
31,South Korea,120.0,85.8,82.0,78.1,82.9,11.0,31.3,77.1,,2015
32,Lithuania,112.9,46.9,63.3,70.1,52.8,12.9,31.3,29.6,,2015
33,Croatia,112.3,50.5,70.7,57.3,58.9,12.5,30.5,32.8,,2015
34,Singapore,111.3,75.4,82.4,66.1,93.6,21.4,44.1,40.4,,2015
35,South Africa,110.9,101.8,21.6,60.1,45.6,3.1,43.0,65.2,,2015
36,Poland,109.7,63.5,67.0,58.0,45.1,10.6,34.7,50.6,,2015
37,Slovakia,109.1,56.0,66.7,57.3,51.6,8.6,30.4,47.9,,2015
38,Italy,101.0,79.4,52.5,65.8,82.7,11.7,35.9,57.7,,2015
39,Latvia,99.0,44.4,62.8,67.1,55.9,12.2,24.0,43.4,,2015
40,Greece,94.7,51.9,58.6,56.7,68.9,9.7,33.2,44.9,,2015
41,Hungary,93.1,46.9,58.2,51.6,48.9,8.6,30.1,46.3,,2015
42,Uruguay,93.1,44.9,52.8,67.9,68.6,11.2,45.0,31.7,,2015
43,Taiwan,92.5,69.9,78.1,84.3,57.1,25.0,28.2,67.6,,2015
44,Panama,89.3,43.3,49.9,82.1,55.2,10.8,28.1,50.9,,2015
45,Malaysia,85.3,73.5,30.0,69.1,46.0,8.4,39.4,64.7,,2015
46,Mexico,85.0,59.5,46.2,67.8,41.3,6.3,36.9,68.8,,2015
47,Bahrain,84.1,59.7,60.0,84.4,56.2,7.9,27.0,87.4,,2015
48,Romania,83.6,40.6,70.3,46.6,42.4,11.8,30.7,50.5,,2015
49,Hong Kong,83.0,74.9,80.8,80.6,75.2,30.1,46.2,59.5,,2015
50,Turkey,82.5,53.6,63.6,74.0,49.6,6.7,46.3,74.3,,2015
51,India,78.6,65.8,53.5,66.9,26.3,10.1,45.2,77.7,,2015
52,Argentina,77.0,59.4,37.6,75.2,67.1,11.6,41.4,55.9,,2015
53,Bosnia And Herzegovina,73.5,44.7,54.2,52.1,42.3,12.5,21.9,58.5,,2015
54,Belarus,72.5,35.8,69.5,45.4,50.2,16.4,30.6,45.1,,2015
55,Bulgaria,68.3,39.9,56.5,58.5,43.6,9.4,33.4,64.0,,2015
56,Chile,65.5,55.1,55.0,58.5,53.2,10.8,40.8,72.4,,2015
57,Georgia,65.0,26.2,78.0,62.6,39.6,15.2,38.0,58.8,,2015
58,Serbia,60.3,39.1,56.6,54.1,43.3,17.1,27.8,56.6,,2015
59,Sri Lanka,49.9,28.2,50.0,74.3,41.7,14.3,30.8,65.7,,2015
60,Armenia,49.1,27.7,70.9,48.3,40.7,13.4,26.1,73.0,,2015
61,Colombia,47.7,36.1,43.1,68.9,38.9,14.4,44.5,61.4,,2015
62,Thailand,47.4,38.8,62.9,82.5,46.5,20.8,42.4,72.8,,2015
63,Kazakhstan,47.0,43.5,53.3,58.9,54.3,12.7,41.8,73.7,,2015
64,Ecuador,44.5,28.0,46.0,63.1,45.6,14.7,45.7,53.2,,2015
65,Dominican Republic,43.6,28.2,32.3,78.7,55.9,11.5,27.5,65.3,,2015
66,Moldova,42.1,23.7,50.3,52.7,34.7,17.1,24.6,57.2,,2015
67,Jordan,38.6,38.7,54.5,69.7,61.4,8.6,51.4,85.6,,2015
68,Philippines,37.0,35.4,56.9,71.7,40.0,18.5,45.5,74.2,,2015
69,Lebanon,32.8,50.2,48.0,65.8,67.6,16.2,32.4,89.1,,2015
70,Brazil,29.8,41.2,31.0,52.2,55.3,16.7,46.3,58.0,,2015
71,North Macedonia,28.9,35.5,63.9,35.1,37.4,15.4,33.2,82.3,,2015
72,Russia,28.4,38.9,48.7,51.8,61.9,14.6,47.1,72.8,,2015
73,Indonesia,22.7,26.0,52.8,66.1,39.3,18.9,41.6,74.4,,2015
74,Pakistan,21.8,33.2,38.8,51.2,30.7,14.3,25.1,83.7,,2015
75,Ukraine,20.1,27.9,50.6,44.3,41.3,17.4,40.0,69.9,,2015
76,China,16.0,48.6,58.3,58.7,48.9,26.4,37.5,89.4,,2015
77,Kenya,7.3,28.7,27.4,62.7,50.0,16.8,65.2,62.2,,2015
78,Bolivia,6.6,41.1,34.4,49.8,40.0,10.3,55.0,94.0,,2015
79,Nigeria,3.0,40.2,23.4,38.4,59.4,10.7,58.7,76.3,,2015
80,Iran,1.1,30.6,49.1,50.1,44.5,20.8,47.4,82.3,,2015
81,Cambodia,-4.4,11.9,55.9,54.2,57.0,21.1,33.3,80.1,,2015
82,Bangladesh,-5.4,33.4,35.8,43.3,39.2,10.9,58.0,93.6,,2015
83,Egypt,-7.1,25.8,39.9,54.7,37.2,11.3,56.9,96.6,,2015
84,Vietnam,-19.5,21.3,47.7,34.3,41.9,23.9,36.4,84.3,,2015
85,Mongolia,-35.7,23.5,29.7,28.3,52.3,18.6,36.9,94.6,,2015
86,Venezuela,-53.0,11.9,15.9,38.5,111.0,22.2,30.6,79.2,,2015
1,Switzerland,208.5,178.7,74.3,68.9,123.1,8.6,28.7,23.0,70.5,2016
2,Denmark,206.5,142.1,74.3,81.9,84.9,5.9,25.6,29.9,70.6,2016
3,New Zealand,201.1,115.5,63.6,72.6,78.2,6.3,31.1,19.0,88.4,2016
4,Germany,199.7,147.6,67.0,75.8,65.5,7.1,29.1,29.9,63.0,2016
5,Australia,198.8,147.3,56.9,73.7,78.5,8.4,34.7,22.9,77.3,2016
6,Austria,192.4,120.5,75.9,77.8,66.6,9.5,26.8,30.8,63.8,2016
7,Netherlands,192.4,129.3,68.5,70.4,72.1,5.9,35.5,32.8,76.3,2016
8,Norway,188.9,125.8,69.9,74.2,99.8,7.4,29.5,18.2,56.3,2016
9,Spain,186.4,105.3,68.2,75.9,56.1,8.1,30.5,46.6,90.8,2016
10,Sweden,185.8,128.2,56.9,74.3,75.7,11.2,32.0,18.3,61.8,2016
11,Finland,184.0,132.9,71.9,74.4,75.2,7.7,32.9,17.8,32.6,2016
12,United States,184.0,139.2,51.1,67.8,74.1,3.4,33.4,34.9,67.6,2016
13,Portugal,181.2,75.5,64.9,69.0,49.8,8.4,30.6,31.8,91.7,2016
14,United Kingdom,180.2,120.0,56.9,74.0,81.0,9.3,35.5,35.0,81.6,2016
15,Canada,177.2,134.8,60.8,68.6,64.8,6.1,37.8,29.5,46.2,2016
16,Japan,176.1,117.6,80.7,80.4,81.3,20.2,48.4,34.0,79.6,2016
17,Slovenia,175.9,89.8,73.7,58.5,52.2,9.7,25.0,28.2,62.5,2016
18,France,173.6,118.5,55.9,82.2,75.3,11.9,32.0,46.3,78.3,2016
19,Croatia,172.4,67.9,70.5,60.0,48.2,11.9,30.0,30.4,85.6,2016
20,Ireland,171.9,125.7,51.6,50.4,78.0,8.5,32.3,30.8,73.1,2016
21,South Korea,170.3,120.6,85.7,79.0,73.2,14.9,30.9,49.7,51.3,2016
22,Czech Republic,167.4,90.0,67.9,72.3,41.8,10.3,32.5,42.5,63.5,2016
23,Israel,166.6,115.5,69.4,76.1,75.7,10.6,37.8,61.5,81.9,2016
24,Greece,165.4,79.3,61.5,59.2,54.4,7.4,29.1,47.2,87.1,2016
25,Belgium,162.3,106.7,54.8,78.1,75.4,6.6,36.2,56.6,77.0,2016
26,Italy,159.3,105.7,53.8,67.8,68.8,10.4,36.5,56.6,86.2,2016
27,Saudi Arabia,159.2,167.9,74.8,65.1,47.6,2.8,38.7,72.2,16.8,2016
28,South Africa,156.7,126.1,21.6,59.6,34.7,3.3,43.2,63.3,91.4,2016
29,Poland,153.6,80.8,68.6,60.0,38.5,11.0,34.5,49.9,64.3,2016
30,Chile,147.3,78.4,58.0,61.1,43.9,9.9,33.8,67.2,85.7,2016
31,Bosnia And Herzegovina,146.7,60.6,57.5,60.5,34.6,10.9,23.4,57.9,75.3,2016
32,Romania,146.1,61.9,70.3,51.4,34.8,10.6,33.3,50.5,67.0,2016
33,United Arab Emirates,144.1,136.4,76.9,58.2,66.1,5.4,33.7,59.5,5.9,2016
34,Bulgaria,141.6,59.2,58.6,50.9,36.4,8.8,28.7,60.4,77.8,2016
35,Hungary,140.7,56.3,58.1,52.1,41.3,9.8,31.8,46.7,66.9,2016
36,Argentina,138.5,74.9,36.7,73.7,64.1,12.2,42.4,58.5,91.7,2016
37,Serbia,138.3,49.6,56.7,55.9,33.6,16.6,28.4,55.1,83.9,2016
38,Turkey,137.3,64.1,60.6,73.0,45.1,8.1,48.1,65.7,74.2,2016
39,Mexico,137.0,76.5,49.2,68.1,35.0,6.2,37.1,64.6,58.8,2016
40,Lithuania,134.3,61.3,56.8,67.4,45.6,12.9,30.2,30.9,24.4,2016
41,Colombia,128.5,46.0,51.5,73.2,29.2,16.3,44.2,64.4,84.5,2016
42,North Macedonia,115.0,46.7,62.0,60.0,31.0,15.5,40.7,85.3,80.6,2016
43,India,109.3,89.6,53.4,66.5,24.1,10.5,46.0,77.0,19.7,2016
44,Hong Kong,108.3,102.3,79.2,74.3,81.5,37.6,46.4,67.2,39.9,2016
